,i,t,m,women,girls,boys,men,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99,log HSize
5338,23827,2019,louga,2,1,4,0,0,0,1,0,1,1,2,0,0,0,0,1,0,1,1.945910149
5339,23828,2019,louga,3,4,1,1,1,2,0,1,0,0,0,1,1,2,0,0,0,1,2.197224577
5340,23829,2019,louga,2,0,3,3,0,0,1,0,2,0,0,0,1,0,2,1,0,1,2.079441542
5341,2383,2019,dakar,1,0,1,3,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1.609437912
5342,2384,2019,dakar,5,3,2,6,0,0,2,0,0,2,0,1,2,1,3,4,1,0,2.772588722
5343,23841,2019,fatick,1,1,3,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1.791759469
5344,238410,2019,fatick,3,2,2,0,0,1,1,0,1,1,0,0,0,2,0,1,0,0,1.945910149
5345,238411,2019,fatick,1,2,4,2,0,1,1,0,1,1,3,0,1,1,0,0,0,0,2.197224577
5346,238412,2019,fatick,4,3,3,3,1,1,1,1,0,0,1,1,1,3,1,0,1,1,2.564949357
5347,23842,2019,fatick,2,3,0,0,0,0,0,1,0,0,0,2,0,1,0,1,0,0,1.609437912
5348,23843,2019,fatick,4,1,2,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1.945910149
5349,23844,2019,fatick,2,3,1,1,0,1,0,2,1,0,0,0,0,1,0,1,1,0,1.945910149
5350,23845,2019,fatick,3,2,2,0,0,1,0,1,0,0,2,0,0,1,0,1,0,1,1.945910149
5351,23846,2019,fatick,1,5,2,2,0,0,0,1,2,2,0,2,1,0,1,0,0,1,2.302585093
5352,23847,2019,fatick,4,2,0,1,0,0,0,1,0,1,0,0,0,3,0,1,1,0,1.945910149
5353,23848,2019,fatick,2,2,3,3,0,0,1,1,1,0,1,1,2,0,1,2,0,0,2.302585093
5354,23849,2019,fatick,1,1,2,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1.609437912
5355,2385,2019,dakar,1,0,2,2,0,0,0,0,1,0,1,0,2,0,0,1,0,0,1.609437912
5356,2386,2019,dakar,4,0,2,1,0,0,1,0,0,0,1,1,0,2,0,1,1,0,1.945910149
5357,23861,2019,fatick,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
5358,238610,2019,fatick,6,3,9,4,2,1,2,0,4,2,1,0,1,1,2,4,1,1,3.091042453
5359,238611,2019,fatick,1,2,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1.609437912
