i,t,m,women,girls,boys,men,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99,log HSize
2369,2019,dakar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23691,2019,louga,1,2,1,2,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1.791759469
236910,2019,louga,3,3,1,2,0,0,1,0,0,1,0,2,1,1,1,2,0,0,2.197224577
236911,2019,louga,1,1,3,1,0,0,1,0,2,1,0,0,0,0,1,1,0,0,1.791759469
236912,2019,louga,0,1,16,3,0,0,1,1,11,0,4,0,2,0,1,0,0,0,2.995732274
23692,2019,louga,2,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1.386294361
23693,2019,louga,2,3,3,3,1,1,1,1,0,1,1,0,0,1,3,0,0,1,2.397895273
23694,2019,louga,2,3,4,1,1,1,0,2,2,0,1,1,0,1,1,0,0,0,2.302585093
23695,2019,louga,7,2,1,5,0,0,1,0,0,1,0,2,2,2,2,1,1,3,2.708050201
23696,2019,louga,3,0,3,2,1,0,1,0,1,0,0,0,1,0,0,2,1,1,2.079441542
23697,2019,louga,4,2,0,2,0,0,0,2,0,0,0,0,2,3,0,1,0,0,2.079441542
23698,2019,louga,3,0,1,2,1,0,0,0,0,0,0,0,1,0,0,2,1,1,1.791759469
23699,2019,louga,4,6,5,3,0,1,1,1,3,0,1,4,0,1,1,2,2,1,2.890371758
23711,2019,louga,3,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1.386294361
237110,2019,louga,3,1,0,2,0,1,0,0,0,0,0,0,0,2,2,0,0,1,1.791759469
237111,2019,louga,4,0,0,4,0,0,0,0,0,0,0,0,0,1,3,2,1,1,2.079441542
237112,2019,louga,2,2,3,2,0,1,1,1,2,0,1,0,0,1,0,1,1,0,2.197224577
23712,2019,louga,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1.098612289
23713,2019,louga,2,0,1,2,0,0,0,0,0,0,1,0,2,1,0,1,0,0,1.609437912
23714,2019,louga,2,3,1,2,0,0,0,0,1,2,0,1,1,1,0,0,1,1,2.079441542
23715,2019,louga,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1.098612289
23716,2019,louga,2,1,2,1,0,0,0,0,2,1,0,0,0,1,1,1,0,0,1.791759469
23717,2019,louga,1,1,1,2,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1.609437912
23718,2019,louga,3,2,3,3,1,1,1,1,1,0,0,0,1,0,1,2,1,1,2.397895273
23719,2019,louga,2,0,2,2,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1.791759469
23731,2019,louga,4,6,6,5,1,0,1,2,3,2,3,2,1,0,0,2,2,2,3.044522438
237310,2019,louga,4,3,0,4,0,1,0,0,0,1,1,1,1,2,1,1,1,1,2.397895273
237311,2019,louga,4,1,3,1,0,0,0,0,0,0,3,1,0,2,0,1,1,1,2.197224577
237312,2019,louga,2,3,2,0,0,0,2,1,0,0,0,2,0,1,0,1,0,0,1.945910149
23732,2019,louga,3,1,3,2,0,0,1,0,1,1,1,1,0,1,2,0,0,1,2.197224577
23733,2019,louga,1,3,2,2,0,0,1,1,0,1,2,1,0,0,0,1,1,0,2.079441542
23734,2019,louga,4,3,2,2,1,1,1,2,0,0,0,0,0,4,2,0,0,0,2.397895273
23735,2019,louga,3,4,4,1,0,1,3,1,1,2,0,0,1,1,0,1,0,1,2.48490665
23736,2019,louga,1,5,2,1,0,0,1,3,0,1,1,1,1,0,0,1,0,0,2.197224577
23737,2019,louga,3,0,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,1.386294361
23738,2019,louga,2,2,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,1,1.609437912
23739,2019,louga,1,3,2,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,1.945910149
23751,2019,louga,2,1,0,3,0,0,0,0,0,1,0,0,2,0,0,1,1,1,1.791759469
237510,2019,louga,1,0,1,2,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1.386294361
237511,2019,louga,3,3,3,3,0,0,0,2,0,0,3,1,2,1,0,2,1,0,2.48490665
237512,2019,louga,2,4,2,4,0,1,1,2,1,0,0,1,2,0,2,2,0,0,2.48490665
23752,2019,louga,4,1,2,0,1,0,1,0,0,0,0,1,0,1,0,2,0,1,1.945910149
23753,2019,louga,2,1,1,2,0,0,0,1,0,0,1,0,1,0,1,2,0,0,1.791759469
23754,2019,louga,3,2,3,2,0,0,0,0,2,1,1,1,2,0,0,2,0,1,2.302585093
23755,2019,louga,4,3,2,3,0,2,1,0,1,1,0,0,1,0,1,2,1,2,2.48490665
23756,2019,louga,4,3,0,3,0,2,0,0,0,1,0,0,0,0,1,3,2,1,2.302585093
23757,2019,louga,5,3,7,4,1,3,5,0,1,0,0,0,1,3,3,1,0,1,2.944438979
23758,2019,louga,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
23759,2019,louga,3,2,3,1,1,0,1,2,1,0,0,1,0,1,1,1,0,0,2.197224577
23761,2019,louga,4,5,0,1,0,0,0,1,0,2,0,2,0,0,0,3,1,1,2.302585093
237610,2019,louga,2,1,1,2,0,0,0,0,1,1,1,0,0,0,0,0,1,2,1.791759469
237611,2019,louga,3,2,3,1,0,1,0,0,2,1,1,1,0,0,0,0,1,2,2.197224577
237612,2019,louga,4,7,2,2,1,2,1,2,0,2,0,1,0,3,1,1,1,0,2.708050201
23762,2019,louga,3,3,3,0,1,1,1,0,0,1,1,1,0,2,0,0,0,1,2.197224577
23763,2019,louga,3,8,4,3,0,3,0,4,2,0,3,1,0,1,1,1,1,1,2.890371758
23764,2019,louga,2,3,5,1,2,2,2,0,0,0,1,1,0,0,1,2,0,0,2.397895273
23765,2019,louga,3,2,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,2,1.791759469
23766,2019,louga,2,3,2,1,0,1,1,0,1,1,0,1,0,1,1,0,0,1,2.079441542
23767,2019,louga,2,1,3,1,1,0,1,0,0,0,1,1,0,1,1,1,0,0,1.945910149
23768,2019,louga,2,1,3,2,0,0,1,1,1,0,1,0,0,0,0,1,2,1,2.079441542
23769,2019,louga,3,3,2,2,1,0,0,0,0,2,1,1,1,1,0,2,1,0,2.302585093
23781,2019,louga,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.6931471806
237810,2019,louga,1,1,1,4,0,0,0,1,1,0,0,0,3,0,0,1,1,0,1.945910149
237811,2019,louga,2,5,1,1,1,0,0,4,0,1,0,0,0,0,1,1,0,1,2.197224577
237812,2019,louga,1,2,3,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1.945910149
23782,2019,louga,2,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1.386294361
23783,2019,louga,1,2,0,1,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1.386294361
23784,2019,louga,4,3,3,5,0,1,2,1,1,1,1,0,2,1,1,2,1,1,2.708050201
23785,2019,louga,2,3,1,2,0,1,0,1,1,1,1,0,0,1,0,1,1,0,2.079441542
23786,2019,louga,2,2,0,3,0,1,0,0,0,0,0,1,0,1,1,0,2,1,1.945910149
23787,2019,louga,2,3,1,2,0,0,1,2,0,1,1,0,0,1,1,1,0,0,2.079441542
23788,2019,louga,2,3,4,1,1,1,1,1,2,1,0,0,0,0,0,2,1,0,2.302585093
23789,2019,louga,1,3,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1.609437912
23801,2019,louga,2,0,4,2,0,0,0,0,1,0,3,0,1,1,1,0,0,1,2.079441542
238010,2019,louga,2,2,6,1,0,1,3,1,2,0,1,0,0,1,0,1,1,0,2.397895273
238011,2019,louga,2,0,3,0,0,0,2,0,1,0,0,0,0,0,0,1,0,1,1.609437912
238012,2019,louga,7,14,6,0,3,2,1,6,1,4,1,2,0,2,0,3,0,2,3.295836866
23802,2019,louga,2,2,2,1,0,0,0,1,0,1,2,0,0,1,0,1,1,0,1.945910149
23803,2019,louga,6,9,5,0,0,2,1,4,3,3,1,0,0,1,0,4,0,1,2.995732274
23804,2019,louga,2,2,2,1,0,0,1,1,0,1,2,0,0,0,0,1,0,1,1.945910149
23805,2019,louga,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1.098612289
23806,2019,louga,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1.098612289
23807,2019,louga,5,5,2,2,1,1,1,2,0,1,0,1,1,3,0,0,1,2,2.63905733
23808,2019,louga,1,2,0,1,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1.386294361
23809,2019,louga,4,1,3,1,1,0,1,1,0,0,1,0,0,1,0,1,1,2,2.197224577
2381,2019,dakar,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1.098612289
23810,2019,dakar,5,1,4,3,3,0,0,0,1,1,0,0,1,3,2,1,0,1,2.564949357
23811,2019,dakar,9,7,3,3,1,1,1,3,0,2,1,1,2,3,1,5,0,1,3.091042453
23812,2019,dakar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2382,2019,dakar,2,0,5,3,2,0,1,0,2,0,0,0,3,1,0,1,0,0,2.302585093
23821,2019,louga,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
238210,2019,louga,2,2,1,1,1,1,0,0,0,1,0,0,0,1,0,1,1,0,1.791759469
238211,2019,louga,2,2,2,1,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1.945910149
238212,2019,louga,1,3,3,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,2.079441542
23822,2019,louga,4,3,4,0,2,1,1,1,1,1,0,0,0,2,0,1,0,1,2.397895273
23823,2019,louga,4,1,3,4,1,0,1,1,1,0,0,0,1,2,2,1,1,1,2.48490665
23824,2019,louga,2,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1.609437912
23825,2019,louga,3,1,4,1,2,0,1,1,1,0,0,0,1,2,0,0,0,1,2.197224577
23826,2019,louga,1,5,2,1,0,1,1,3,0,1,1,0,0,1,1,0,0,0,2.197224577
23827,2019,louga,2,1,4,0,0,0,1,0,1,1,2,0,0,0,0,1,0,1,1.945910149
23828,2019,louga,3,4,1,1,1,2,0,1,0,0,0,1,1,2,0,0,0,1,2.197224577
23829,2019,louga,2,0,3,3,0,0,1,0,2,0,0,0,1,0,2,1,0,1,2.079441542
2383,2019,dakar,1,0,1,3,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1.609437912
